id, retning, from address,from nr, from zip, from lon, from lat, to address,to nr, to zip, to lon, to lat, fejlkode, rutenavn, meter, sekunder, hastighed, sek ved std hastighed
96,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Tuborgvej,164,2400,55.7216971828607,12.543236519761,0,Sølvgade,7472,2000,13.4496,1640
97,arbejde > hjem,Tuborgvej,164,2400,55.7216971828607,12.543236519761,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Lersø Parkallé,7451,2012,13.331809145129226,1635
98,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Amagerbrogade,41,2300,55.6642117330896,12.6009779991059,0,Torvegade,1261,333,13.632432432432433,276
99,arbejde > hjem,Amagerbrogade,41,2300,55.6642117330896,12.6009779991059,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Amagerbrogade,1261,327,13.88256880733945,276
100,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Øresundsvej,49,2300,55.6605292842964,12.6134727292807,0,Torvegade,2346,619,13.64394184168013,514
101,arbejde > hjem,Øresundsvej,49,2300,55.6605292842964,12.6134727292807,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Amagerbrogade,2343,609,13.850246305418718,514
102,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Njalsgade,104,2300,55.6614798739102,12.587573985937,0,Torvegade,1918,527,13.102087286527516,421
103,arbejde > hjem,Njalsgade,104,2300,55.6614798739102,12.587573985937,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Amagerfælledvej,1918,529,13.052551984877127,421
104,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Kaj Munks Vej,3,2300,55.6586791992504,12.5912429891562,0,Torvegade,1892,509,13.381532416502948,415
105,arbejde > hjem,Kaj Munks Vej,3,2300,55.6586791992504,12.5912429891562,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Amagerfælledvej,1884,508,13.351181102362204,413
106,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Ørestads Boulevard,88,2300,55.6300408608624,12.5791309668835,0,Amagerfælledvej,5261,1353,13.998226164079822,1154
107,arbejde > hjem,Ørestads Boulevard,88,2300,55.6300408608624,12.5791309668835,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Ørestads Boulevard,5259,1348,14.044807121661721,1154
108,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,H. C. Andersens Boulevard,18,1553,55.67534,12.56802,0,Børsgade,2344,668,12.632335329341318,514
109,arbejde > hjem,H. C. Andersens Boulevard,18,1553,55.67534,12.56802,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Stormgade,2344,663,12.72760180995475,514
110,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Øster Farimagsgade,5,1353,55.68724418275476,12.570408582687378,0,Prinsessegade,2836,786,12.989312977099237,622
111,arbejde > hjem,Øster Farimagsgade,5,1353,55.68724418275476,12.570408582687378,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Gothersgade,2839,784,13.036224489795918,623
112,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,A. C. Meyers Vænge,15,2450,55.65047,12.54293,0,Islands Brygge,5123,1412,13.061473087818698,1124
113,arbejde > hjem,A. C. Meyers Vænge,15,2450,55.65047,12.54293,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Vasbygade / O2,5120,1386,13.2987012987013,1123
114,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Vesterbrogade,118,1620,55.671343910241966,12.544192671775818,0,Børsgade,3977,1095,13.075068493150685,873
115,arbejde > hjem,Vesterbrogade,118,1620,55.671343910241966,12.544192671775818,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Vesterbrogade,3999,1107,13.004878048780489,877
116,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Frederikssundsvej,154,2700,55.70461004233996,12.499748468399048,0,Gothersgade,7912,2101,13.556972870061877,1736
117,arbejde > hjem,Frederikssundsvej,154,2700,55.70461004233996,12.499748468399048,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Frederikssundsvej,7901,2113,13.461239943208708,1734
118,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Amagerbrogade,141,230,55.65638,12.6095,0,Torvegade,2285,604,13.619205298013245,501
119,arbejde > hjem,Amagerbrogade,141,230,55.65638,12.6095,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Amagerbrogade,2285,598,13.755852842809364,501
120,hjem > arbejde,Skindergade,33,1159,55.679148277067,12.574132216348,Danneskiold-Samsøes Allé,41,1434,55.680538155828,12.6037197815902,0,Børsgade,2686,784,12.333673469387755,589
121,arbejde > hjem,Danneskiold-Samsøes Allé,41,1434,55.680538155828,12.6037197815902,Skindergade,33,1159,55.679148277067,12.574132216348,0,Strandgade,2733,747,13.171084337349399,599
122,hjem > arbejde,Skindergade,33,1159,55.679148277067,12.574132216348,Nørre Voldgade,56,1358,55.6820577837877,12.5704611697303,0,Skindergade,556,144,13.9,122
123,arbejde > hjem,Nørre Voldgade,56,1358,55.6820577837877,12.5704611697303,Skindergade,33,1159,55.679148277067,12.574132216348,0,Nørregade,556,151,13.255629139072848,122
124,hjem > arbejde,Skindergade,33,1159,55.679148277067,12.574132216348,Strandgade,36,1401,55.6746537516726,12.5910722960965,0,Børsgade,1479,477,11.162264150943397,324
125,arbejde > hjem,Strandgade,36,1401,55.6746537516726,12.5910722960965,Skindergade,33,1159,55.679148277067,12.574132216348,0,Børsgade,1525,442,12.42081447963801,334
126,hjem > arbejde,Skindergade,33,1159,55.679148277067,12.574132216348,Holmens Kanal,18,1060,55.6774558859942,12.5845974425978,0,Klosterstræde,901,282,11.502127659574468,197
127,arbejde > hjem,Holmens Kanal,18,1060,55.6774558859942,12.5845974425978,Skindergade,33,1159,55.679148277067,12.574132216348,0,Bremerholm,901,286,11.341258741258741,197
128,hjem > arbejde,Skindergade,33,1159,55.679148277067,12.574132216348,Bredgade,65,1260,55.6864516275093,12.5918389699654,0,Gothersgade,1746,495,12.69818181818182,383
129,arbejde > hjem,Bredgade,65,1260,55.6864516275093,12.5918389699654,Skindergade,33,1159,55.679148277067,12.574132216348,0,Fredericiagade,1789,484,13.306611570247934,392
130,hjem > arbejde,Skindergade,33,1159,55.679148277067,12.574132216348,Sankt Peders Stræde,2,1453,55.679870803049,12.570862611742,0,Skindergade,343,103,11.988349514563106,75
131,arbejde > hjem,Sankt Peders Stræde,2,1453,55.679870803049,12.570862611742,Skindergade,33,1159,55.679148277067,12.574132216348,0,Nørregade,343,105,11.76,75
132,hjem > arbejde,Skindergade,33,1159,55.679148277067,12.574132216348,Sundkrogsgade,7,2100,55.7102250385094,12.5928069484879,0,Folke Bernadottes Allé / O2,4167,1153,13.010581092801388,914
133,arbejde > hjem,Sundkrogsgade,7,2100,55.7102250385094,12.5928069484879,Skindergade,33,1159,55.679148277067,12.574132216348,0,Kalkbrænderihavnsgade / O2,4157,1126,13.290586145648314,912
134,hjem > arbejde,Skindergade,33,1159,55.679148277067,12.574132216348,Dampfærgevej,29,2100,55.6994002178611,12.5949703297449,0,Kronprinsessegade,2927,829,12.710735826296743,642
135,arbejde > hjem,Dampfærgevej,29,2100,55.6994002178611,12.5949703297449,Skindergade,33,1159,55.679148277067,12.574132216348,0,Folke Bernadottes Allé / O2,2927,792,13.304545454545455,642
136,hjem > arbejde,Skindergade,33,1159,55.679148277067,12.574132216348,Østerbrogade,41,2100,55.7003799229605,12.5772081465991,0,Øster Farimagsgade,2972,797,13.424341279799247,652
137,arbejde > hjem,Østerbrogade,41,2100,55.7003799229605,12.5772081465991,Skindergade,33,1159,55.679148277067,12.574132216348,0,Østerbrogade,2989,808,13.317326732673267,656
138,hjem > arbejde,Skindergade,33,1159,55.679148277067,12.574132216348,Universitetsparken,2,2100,55.7028026833825,12.5613866756584,0,Nørregade,3315,908,13.1431718061674,727
139,arbejde > hjem,Universitetsparken,2,2100,55.7028026833825,12.5613866756584,Skindergade,33,1159,55.679148277067,12.574132216348,0,Fælledvej,3308,901,13.2173140954495,726
140,hjem > arbejde,Skindergade,33,1159,55.679148277067,12.574132216348,Nørre Allé,41,2200,55.6947790782764,12.5610434646087,0,Nørregade,2412,670,12.96,529
